time,sat_indices,target_indices,signal,noise,snr
2024-01-01 12:00:00+00:00,0,0,3031.528647420002,19.98299987926297,151.7053828622559
2024-01-01 12:00:00+00:00,0,1,35029.40452442361,19.98299987926297,1752.960253018607
2024-01-01 12:00:00+00:00,0,2,1801.3597140485087,19.98299987926297,90.1446091644048
2024-01-01 12:00:00+00:00,0,3,163853.30439358816,19.98299987926297,8199.634958894447
2024-01-01 12:00:00+00:00,0,4,7447.398359464524,19.98299987926297,372.6867039214137
2024-01-01 12:00:00+00:00,0,5,41703.51809790767,19.98299987926297,2086.949824845108
2024-01-01 12:00:00+00:00,0,6,46691.70730448299,19.98299987926297,2336.5714650749983
2024-01-01 12:00:00+00:00,0,7,147.23153904019907,19.98299987926297,7.367839660199677
2024-01-01 12:00:00+00:00,0,8,14779.619456599945,19.98299987926297,739.6096454935804
2024-01-01 12:00:00+00:00,0,9,2418.41169499969,19.98299987926297,121.02345541769017
2024-01-01 12:00:00+00:00,1,0,3075.911005847027,19.98299987926297,153.92638865193624
2024-01-01 12:00:00+00:00,1,1,686456.6762424591,19.98299987926297,34352.033247761676
2024-01-01 12:00:00+00:00,1,2,2608.8011811543265,19.98299987926297,130.55102821982035
2024-01-01 12:00:00+00:00,1,3,71130.51515751719,19.98299987926297,3559.5513980526875
2024-01-01 12:00:00+00:00,1,4,1718526.426127901,19.98299987926297,85999.42133369444
2024-01-01 12:00:00+00:00,1,5,201868.41793660008,19.98299987926297,10102.007664329003
2024-01-01 12:00:00+00:00,1,6,319411.2816533658,19.98299987926297,15984.150707263409
2024-01-01 12:00:00+00:00,1,7,2658.853698650874,19.98299987926297,133.05578315146045
2024-01-01 12:00:00+00:00,1,8,9590.843368072457,19.98299987926297,479.9501289105845
2024-01-01 12:00:00+00:00,1,9,67597.22566103922,19.98299987926297,3382.736629608207
2024-01-01 12:00:00+00:00,2,0,3357.887034352175,19.98299987926297,168.0371843387122
2024-01-01 12:00:00+00:00,2,1,275657.8188779317,19.98299987926297,13794.616451156118
2024-01-01 12:00:00+00:00,2,2,3186.8660097234574,19.98299987926297,159.4788584786299
2024-01-01 12:00:00+00:00,2,3,56586.523702709266,19.98299987926297,2831.733175429331
2024-01-01 12:00:00+00:00,2,4,151462.30151709192,19.98299987926297,7579.557745695101
2024-01-01 12:00:00+00:00,2,5,588633.8756746559,19.98299987926297,29456.732183915043
2024-01-01 12:00:00+00:00,2,6,76930.58704343885,19.98299987926297,3849.8017068634576
2024-01-01 12:00:00+00:00,2,7,606.5399983308861,19.98299987926297,30.352799979762448
2024-01-01 12:00:00+00:00,2,8,10425.745920212054,19.98299987926297,521.7307703149816
2024-01-01 12:00:00+00:00,2,9,31771.485206315912,19.98299987926297,1589.925706764691
2024-01-01 12:00:00+00:00,3,0,1841.8876389815553,19.98299987926297,92.17272932543747
2024-01-01 12:00:00+00:00,3,1,3006.5166053704706,19.98299987926297,150.45371683610097
2024-01-01 12:00:00+00:00,3,2,689.4633295846743,19.98299987926297,34.502493807256315
2024-01-01 12:00:00+00:00,3,3,8492.938956378755,19.98299987926297,425.008207360906
2024-01-01 12:00:00+00:00,3,4,2305.7966716945625,19.98299987926297,115.3879140082148
2024-01-01 12:00:00+00:00,3,5,2851.5174172469656,19.98299987926297,142.6971643134563
2024-01-01 12:00:00+00:00,3,6,3727.51658601424,19.98299987926297,186.53438465374808
2024-01-01 12:00:00+00:00,3,7,673.4540129784668,19.98299987926297,33.701346997321096
2024-01-01 12:00:00+00:00,3,8,3397.3089456075777,19.98299987926297,170.00995676995822
2024-01-01 12:00:00+00:00,3,9,2000.3574004165673,19.98299987926297,100.10295813955368
2024-01-01 12:00:00+00:00,4,0,1920.3511331354086,19.98299987926297,96.09924159226071
2024-01-01 12:00:00+00:00,4,1,8208.104543909669,19.98299987926297,410.75437089040344
2024-01-01 12:00:00+00:00,4,2,1226.7445791308594,19.98299987926297,61.38941032591875
2024-01-01 12:00:00+00:00,4,3,10365.889364068491,19.98299987926297,518.7353964219118
2024-01-01 12:00:00+00:00,4,4,7709.169796085089,19.98299987926297,385.7864105821846
2024-01-01 12:00:00+00:00,4,5,6651.577292539494,19.98299987926297,332.8617991657028
2024-01-01 12:00:00+00:00,4,6,10724.380669586611,19.98299987926297,536.6752106482102
2024-01-01 12:00:00+00:00,4,7,2313.881431190522,19.98299987926297,115.79249588004625
2024-01-01 12:00:00+00:00,4,8,3810.785131831704,19.98299987926297,190.70135389363054
2024-01-01 12:00:00+00:00,4,9,7267.68454138904,19.98299987926297,363.69336862834894
2024-01-01 12:00:00+00:00,5,0,2446.7600257896815,19.98299987926297,122.44207779477428
2024-01-01 12:00:00+00:00,5,1,15945.718668970589,19.98299987926297,797.9642078423869
2024-01-01 12:00:00+00:00,5,2,7424.343738560038,19.98299987926297,371.5329922142736
2024-01-01 12:00:00+00:00,5,3,8670.47899063432,19.98299987926297,433.8927609979104
2024-01-01 12:00:00+00:00,5,4,19064.043316793304,19.98299987926297,954.0130827192119
2024-01-01 12:00:00+00:00,5,5,14906.530650509787,19.98299987926297,745.9606035417532
2024-01-01 12:00:00+00:00,5,6,13120.267523441016,19.98299987926297,656.5714658816747
2024-01-01 12:00:00+00:00,5,7,27876.310081417603,19.98299987926297,1395.001263566327
2024-01-01 12:00:00+00:00,5,8,4422.93716948981,19.98299987926297,221.3349945560296
2024-01-01 12:00:00+00:00,5,9,14530.381784559304,19.98299987926297,727.1371602037575
2024-01-01 12:00:00+00:00,6,0,3077.607977807391,19.98299987926297,154.01130943313112
2024-01-01 12:00:00+00:00,6,1,5518.644255271196,19.98299987926297,276.1669563436308
2024-01-01 12:00:00+00:00,6,2,5676.986788061095,19.98299987926297,284.0908183136354
2024-01-01 12:00:00+00:00,6,3,6029.62716784278,19.98299987926297,301.73783737545466
2024-01-01 12:00:00+00:00,6,4,4728.65563952347,19.98299987926297,236.63392223860018
2024-01-01 12:00:00+00:00,6,5,6968.998364752944,19.98299987926297,348.74635474451003
2024-01-01 12:00:00+00:00,6,6,4486.097636676263,19.98299987926297,224.49570453791765
2024-01-01 12:00:00+00:00,6,7,2258.4369185953688,19.98299987926297,113.01791183710233
2024-01-01 12:00:00+00:00,6,8,5239.344908815081,19.98299987926297,262.1901086158803
2024-01-01 12:00:00+00:00,6,9,3820.3870279596467,19.98299987926297,191.1818571306799
2024-01-01 12:00:00+00:00,7,0,2327.1858285728995,19.98299987926297,116.45828167110677
2024-01-01 12:00:00+00:00,7,1,207.54450537088303,19.98299987926297,10.386053476698407
2024-01-01 12:00:00+00:00,7,2,372.14981642867474,19.98299987926297,18.623320756502988
2024-01-01 12:00:00+00:00,7,3,1267.974679319953,19.98299987926297,63.45266911780213
2024-01-01 12:00:00+00:00,7,4,149.25833745121278,19.98299987926297,7.469265793576027
